step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
31,1.0514413758949595,"[108.792077224972, 103.49433631148621, 106.43672450077749, 103.22822686478675, 107.36286476607064]","[107.91910213223292, 102.7157624989308, 109.1410934163035, 105.2301096427074, 108.66036765771706]","[-0.008024252454835018, -0.007522863958585513, 0.025408231305598508, 0.01939278469388821, 0.012085211161918066]","[0.33289894461631775, 0.39021942019462585, 0.0, 0.0, 0.276881605386734]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19332279350525858, 0.20518608023724863, 0.20853241238383893, 0.20538608453284865, 0.18757262934080515]","[0.33289894461631775, 0.39021942019462585, 0.0, 0.0, 0.276881605386734]",-0.0027577369688668377
32,1.070322916817936,"[107.91910213223292, 102.7157624989308, 109.1410934163035, 105.2301096427074, 108.66036765771706]","[108.19984469558824, 100.9611154334542, 111.10102391643652, 104.2912181547451, 111.38728415673044]","[0.002601416781723453, -0.017082549190002544, 0.017957768598277923, -0.008922270357316645, 0.025095778320972015]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.202163839630017, 0.18633137411556783, 0.20672351529460425, 0.20829205166502865, 0.19648921929478233]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.01646490146634006
33,1.072310587250633,"[108.19984469558824, 100.9611154334542, 111.10102391643652, 104.2912181547451, 111.38728415673044]","[111.38619893922333, 98.02255610008035, 109.9570694642778, 103.91130166989947, 112.3698073287568]","[0.02944878758929508, -0.029105852493386108, -0.010296524836883026, -0.0036428425285234553, 0.008820783983240639]","[0.0, 0.0, 0.0, 0.5587224960327148, 0.44127750396728516]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19861785191515696, 0.20408346421292894, 0.20183457071558583, 0.20072292368344738, 0.19474118947288085]","[0.0, 0.0, 0.0, 0.5587224960327148, 0.44127750396728516]",0.0009938307538626808
34,1.0669738560167596,"[111.38619893922333, 98.02255610008035, 109.9570694642778, 103.91130166989947, 112.3698073287568]","[112.69912519286395, 97.6510473042269, 111.33412320871118, 101.65218081290304, 111.87906305543943]","[0.011787153760018291, -0.003790033749723238, 0.01252355806809449, -0.02174085802690742, -0.0043672253693700855]","[0.5, 0.0, 0.0, 0.5, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2221869940734593, 0.18886335338825794, 0.20609128644372537, 0.20012186313115904, 0.1827365029633984]","[0.5, 0.0, 0.0, 0.5, 0.0]",-0.005922651453574649
35,1.0868223833685653,"[112.69912519286395, 97.6510473042269, 111.33412320871118, 101.65218081290304, 111.87906305543943]","[111.05615619902768, 96.82513355641258, 109.70754296245863, 103.54317943471361, 110.25757697073094]","[-0.014578365102875659, -0.008457807372421038, -0.014609898559162272, 0.01860263701859052, -0.014493204004622371]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19272686213225926, 0.21152549028749065, 0.20185710106768798, 0.1944388114041139, 0.19945173510844816]","[0.0, 0.0, 0.0, 1.0, 0.0]",0.01718016514682413
36,1.0981771683733217,"[111.05615619902768, 96.82513355641258, 109.70754296245863, 103.54317943471361, 110.25757697073094]","[113.23531965534141, 95.13637310543504, 107.10118688828544, 102.2110494616072, 110.65811741456899]","[0.01962217612149636, -0.017441343884061145, -0.023757309696244622, -0.012865453624073264, 0.0036327702353225262]","[0.4262147545814514, 0.0, 0.0, 0.0, 0.5737851858139038]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19396683026934966, 0.20522644122995096, 0.1961864137647205, 0.19861222192546896, 0.20600809281050983]","[0.4262147843837738, 0.0, 0.0, 0.0, 0.5737852454185486]",0.009524035305342222
37,1.1105679409188431,"[113.23531965534141, 95.13637310543504, 107.10118688828544, 102.2110494616072, 110.65811741456899]","[114.17011493386546, 95.23998401172277, 106.72116365038053, 104.2400833535273, 111.11757280534925]","[0.008255333065419172, 0.0010890777407805985, -0.003548263552870805, 0.01985141432954609, 0.004152026091849748]","[0.0, 0.45667967200279236, 0.0, 0.5433202981948853, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18129278541228436, 0.19976054217217915, 0.2104337315267983, 0.21033293199729358, 0.1981800088914447]","[0.0, 0.45667967200279236, 0.0, 0.5433202981948853, 0.0]",0.010446197241906242
38,1.1084072662659519,"[114.17011493386546, 95.23998401172277, 106.72116365038053, 104.2400833535273, 111.11757280534925]","[114.1346136102117, 94.32042506818351, 106.13938983170647, 106.04248528353601, 111.75001967727952]","[-0.000310951107251895, -0.009655177424495077, -0.0054513444079373205, 0.017290871918203655, 0.005691690845678945]","[0.682007372379303, 0.0, 0.317992627620697, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2152641750662749, 0.2012186104334836, 0.20626159263364804, 0.1944166637978841, 0.18283895806870928]","[0.682007372379303, 0.0, 0.317992627620697, 0.0, 0.0]",-0.0028649745563731916
39,1.1232245422730067,"[114.1346136102117, 94.32042506818351, 106.13938983170647, 106.04248528353601, 111.75001967727952]","[114.19740488815769, 95.93847153738214, 105.81377584426363, 107.01136909209221, 112.03348594487362]","[0.0005501510537410932, 0.017154783473769954, -0.003067795923446761, 0.009136751236691613, 0.0025366104490425097]","[0.0, 0.5277264714241028, 0.0, 0.4722735285758972, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19665636368348136, 0.1933235250708329, 0.19848488251040294, 0.2102979246258636, 0.20123730410941926]","[0.0, 0.5277264714241028, 0.0, 0.4722735285758972, 0.0]",0.012515753451777063
40,1.1175494168563684,"[114.19740488815769, 95.93847153738214, 105.81377584426363, 107.01136909209221, 112.03348594487362]","[116.47529970142764, 95.14227952850788, 105.62266836193997, 107.8890207110454, 113.74373569874399]","[0.019946992801639148, -0.008298985757387467, -0.0018060737441685315, 0.008201480145515213, 0.015265522976870546]","[0.0, 0.5, 0.5, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19691888898738066, 0.20480024153672202, 0.2044147480539045, 0.19810377902075316, 0.1957623424012397]","[0.0, 0.5, 0.5, 0.0, 0.0]",-0.005981138130811714
